start,end,worker_id,source,mapping.name,exportID,records.size,message.count,record.id,rdf.file.size,
1545080031659,1545080050696,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,2,0d97f588-c3b1-498f-9544-c9ff0e406fb3,19025,
1545080050796,1545080060576,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,10,9a99fe1e-3896-45e5-b1fd-58a402ec5f66,16611,
1545080060607,1545080065292,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,18,18ba6f44-3552-4edf-866b-ae2f13d7f267,11674,
1545080065394,1545080071167,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,26,ba5d043e-4ef7-4a42-9707-99013adc1f99,19004,
1545080114060,1545080115761,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,1,828ddac2-2f3b-4648-9581-e3e5d1558fcc,16138,
1545080115775,1545080116880,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,3,c5c3ed63-8e14-4fb3-a07c-c0c51d3ded19,19007,
1545080116891,1545080117728,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,5,0ca0eeb1-41fd-4b25-bbea-070461188521,16162,
1545080117746,1545080118529,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,7,87e6f096-e84c-4d55-8409-4eb8b5a69081,15836,
1545080118539,1545080119577,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,9,dfd5fe9f-d397-4f34-aea4-856049039d3d,16233,
1545080119596,1545080120700,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,11,e9355e16-a39a-4756-922a-475e33c06b00,16136,
1545080120711,1545080121612,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,13,4b41a289-520d-4434-812d-4d44a3304f18,19020,
1545080121634,1545080122907,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,15,9701ceeb-9d8a-46d9-b1e3-e56ffa4480f5,19006,
1545080122928,1545080123948,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,17,61e6b5b2-de1f-45da-93e6-d79728c252a0,19012,
1545080123972,1545080125257,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,19,f1e94daa-aca7-478f-b9b4-96ddb2516683,19033,
1545080125270,1545080126082,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,21,b64dbed3-31f5-430a-a9c8-9716ccc8c1e7,19005,
1545080126091,1545080126888,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,23,5903f8bf-0fb7-4e35-971f-aa324fdd36d4,16622,
1545080126900,1545080127939,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,25,77c44e68-e158-40fd-be42-45d18f95f4cc,19007,
1545080127947,1545080128892,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,27,414a1df6-4aed-48fd-b56b-c22c889eccbb,15821,
1545080128934,1545080129875,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,29,7b79a009-be67-4c54-a9cb-8e0f4a272394,16225,
